name annotation description region distance subregion insideDistance exonnumber nexons UTR strand geneL codingL Geneid subjectHits CpG pval p.adjusted
NIN "NM_016350 NM_020921 NM_182944 NM_182945 NM_182946 NP_057434 NP_065972 NP_891989 NP_891991 XM_011536819 XM_011536822 XM_011536823 XM_024449622 XP_011535121 XP_011535124 XP_011535125 XP_024305390 XR_001750344 XR_001750345 XR_001750346 XR_001750347 XR_001750348 XR_001750349 XR_001750350" downstream downstream 125430 NA NA NA 31 NA - 111358 NA 51199 39437 cg22805491 2.990861850439678e-8 0.024270604647369954
LOC728989 NR_024442 upstream upstream 7893 NA NA NA 6 NA - 23704 NA 728989 57767 cg06548512 1.3152229582959144e-7 0.05336464544367341
SELENOT "NM_016275 NP_057359" "inside intron" inside 8392 "inside intron" -8171 1 6 "inside transcription region" + 27168 NA 51714 40744 cg00832928 4.578302372195493e-7 0.1112202419236288
OAS3 "NM_006187 NP_006178 XM_005253889 XM_017019363 XP_005253946 XP_016874852" "inside exon" inside 22797 "inside exon" 0 8 16 "inside transcription region" + 34805 NA 4940 38055 cg18507060 5.482259439335387e-7 0.1112202419236288
RAB11B-AS1 NR_038237 "inside intron" inside 4519 "inside intron" 3836 1 3 "inside transcription region" - 16315 NA 100507567 2412 cg22167498 1.0018966804318974e-6 0.16260622819940823
CD5 "NM_001346456 NM_014207 NP_001333385 NP_055022" upstream upstream 7469 NA NA NA 11 NA + 25393 NA 921 70005 cg08653580 1.2067616108848484e-6 0.16321289885669454
ZSCAN29 "NM_001372080 NM_152455 NP_001359009 NP_689668 XM_017021949 XP_016877438 XR_001751103" "inside exon" inside 10786 "inside exon" -0 3 3 3'UTR - 11888 NA 146050 12146 cg08288426 1.5066709976570105e-6 0.1746644944615261
MARCHF1 "NM_001166373 NM_017923 NP_001159845 NP_060393 XM_011532055 XM_017008334 XM_017008335 XM_017008336 XP_011530357 XP_016863823 XP_016863824 XP_016863825" "inside intron" inside 194568 "inside intron" -77019 2 8 "5' UTR" - 858957 NA 55016 43633 cg23596249 1.851961404191151e-6 0.1878564829762357
CFAP44 "NM_001164496 NM_018338 NP_001157968 NP_060808" "inside intron" inside 102065 "inside intron" 2294 24 35 "inside transcription region" - 154584 NA 55779 45960 cg10044900 2.5480982844919588e-6 0.19772711333973567
DCAF4 "NM_001163508 NM_001163509 NM_001352447 NM_001352448 NM_001352449 NM_015604 NM_181340 NM_181341 NP_001156980 NP_001156981 NP_001339376 NP_001339377 NP_001339378 NP_056419 NP_851937 NP_851938 NR_147990 XM_017021201 XM_017021202 XM_017021203 XM_017021205 XM_017021206 XM_017021207 XM_017021208 XM_017021209 XM_017021212 XM_017021213 XM_017021214 XM_017021215 XP_016876690 XP_016876691 XP_016876692 XP_016876694 XP_016876695 XP_016876696 XP_016876697 XP_016876698 XP_016876701 XP_016876702 XP_016876703 XP_016876704" "inside intron" inside 3429 "inside intron" -3217 1 14 "5' UTR" + 33317 NA 26094 23803 cg13704629 2.733280133167279e-6 0.19772711333973567
